"LE-MON-1-111__Monitoring_and_Syslog_","Virtual Server in le-vcenter-1-56","VMware","Group1_Quieisce","Economy1_SAO20_STR_DPWH","Primary","SAO20_1_82_LIBRARY","7 day(s);1 Cycle(s)","0.226","0.189","LE-vCENTER-1-56"
"LE-MON-1-111__Monitoring_and_Syslog_","Virtual Server in le-vcenter-1-56","VMware","Group1_Quieisce","Economy1_SAO20_STR_DPWH","Remote Copy CJIS-SO","DiskLib_CVSDS-Pool01","14 day(s);1 Cycle(s)","0.412","0.089","LE-vCENTER-1-56"
"LE-PRT-1-75__2012_Print_Server_","Virtual Server in le-vcenter-1-56","VMware","Group1_Quieisce","Economy1_SAO20_STR_DPWH","Primary","SAO20_1_82_LIBRARY","7 day(s);1 Cycle(s)","0.163","0.136","LE-vCENTER-1-56"
"LE-PRT-1-75__2012_Print_Server_","Virtual Server in le-vcenter-1-56","VMware","Group1_Quieisce","Economy1_SAO20_STR_DPWH","Remote Copy CJIS-SO","DiskLib_CVSDS-Pool01","14 day(s);1 Cycle(s)","0.281","0.060","LE-vCENTER-1-56"
"le-s9-1-99","Windows File System","DefaultInstanceName","R:\001-Volume","SAO20_S9_LTR","Primary","SAO20_1_82_LIBRARY","14 day(s);2 Cycle(s)","0.190","0.176","Media Agents; Infrastructure; SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"le-s9-1-99","Windows File System","DefaultInstanceName","R:\001-Volume","SAO20_S9_LTR","Remote Copy","DiskLib_CVSDS-Pool01","14 day(s);1 Cycle(s)","0.190","0.176","Media Agents; Infrastructure; SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"le-s9-1-99","Windows File System","DefaultInstanceName","R:\001-Volume","SAO20_S9_LTR","SAO20-S9-Seed","SAO20-Seed","30 day(s);4 Cycle(s)","0.000","0.000","Media Agents; Infrastructure; SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"le-s9-1-99","Windows File System","DefaultInstanceName","R:\002-Volume","SAO20_S9_LTR","Primary","SAO20_1_82_LIBRARY","14 day(s);2 Cycle(s)","4.197","4.065","Media Agents; Infrastructure; SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"le-s9-1-99","Windows File System","DefaultInstanceName","R:\002-Volume","SAO20_S9_LTR","Remote Copy","DiskLib_CVSDS-Pool01","14 day(s);1 Cycle(s)","4.197","4.065","Media Agents; Infrastructure; SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"le-s9-1-99","Windows File System","DefaultInstanceName","R:\002-Volume","SAO20_S9_LTR","SAO20-S9-Seed","SAO20-Seed","30 day(s);4 Cycle(s)","0.000","0.000","Media Agents; Infrastructure; SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"le-s9-1-99","Windows File System","DefaultInstanceName","R:\003-Volume","SAO20_S9_LTR","Primary","SAO20_1_82_LIBRARY","14 day(s);2 Cycle(s)","2.947","2.818","Media Agents; Infrastructure; SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"le-s9-1-99","Windows File System","DefaultInstanceName","R:\003-Volume","SAO20_S9_LTR","Remote Copy","DiskLib_CVSDS-Pool01","14 day(s);1 Cycle(s)","2.947","2.818","Media Agents; Infrastructure; SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"le-s9-1-99","Windows File System","DefaultInstanceName","R:\003-Volume","SAO20_S9_LTR","SAO20-S9-Seed","SAO20-Seed","30 day(s);4 Cycle(s)","0.000","0.000","Media Agents; Infrastructure; SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"le-s9-1-99","Windows File System","DefaultInstanceName","R:\004-Volume","SAO20_S9_LTR","Primary","SAO20_1_82_LIBRARY","14 day(s);2 Cycle(s)","3.883","3.791","Media Agents; Infrastructure; SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"le-s9-1-99","Windows File System","DefaultInstanceName","R:\004-Volume","SAO20_S9_LTR","Remote Copy","DiskLib_CVSDS-Pool01","14 day(s);1 Cycle(s)","3.883","3.791","Media Agents; Infrastructure; SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"le-s9-1-99","Windows File System","DefaultInstanceName","R:\004-Volume","SAO20_S9_LTR","SAO20-S9-Seed","SAO20-Seed","30 day(s);4 Cycle(s)","0.000","0.000","Media Agents; Infrastructure; SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"le-s9-1-99","Windows File System","DefaultInstanceName","R:\005-Volume","SAO20_S9_LTR","Primary","SAO20_1_82_LIBRARY","14 day(s);2 Cycle(s)","6.760","6.524","Media Agents; Infrastructure; SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"le-s9-1-99","Windows File System","DefaultInstanceName","R:\005-Volume","SAO20_S9_LTR","Remote Copy","DiskLib_CVSDS-Pool01","14 day(s);1 Cycle(s)","3.834","3.700","Media Agents; Infrastructure; SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"le-s9-1-99","Windows File System","DefaultInstanceName","R:\005-Volume","SAO20_S9_LTR","SAO20-S9-Seed","SAO20-Seed","30 day(s);4 Cycle(s)","6.760","6.524","Media Agents; Infrastructure; SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"le-s9-1-99","Windows File System","DefaultInstanceName","R:\006-Volume","SAO20_S9_LTR","Primary","SAO20_1_82_LIBRARY","14 day(s);2 Cycle(s)","5.919","5.871","Media Agents; Infrastructure; SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"le-s9-1-99","Windows File System","DefaultInstanceName","R:\006-Volume","SAO20_S9_LTR","Remote Copy","DiskLib_CVSDS-Pool01","14 day(s);1 Cycle(s)","3.179","3.153","Media Agents; Infrastructure; SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"le-s9-1-99","Windows File System","DefaultInstanceName","R:\006-Volume","SAO20_S9_LTR","SAO20-S9-Seed","SAO20-Seed","30 day(s);4 Cycle(s)","5.919","5.871","Media Agents; Infrastructure; SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"le-s9-1-99","Windows File System","DefaultInstanceName","R:\007-Volume","SAO20_S9_LTR","Primary","SAO20_1_82_LIBRARY","14 day(s);2 Cycle(s)","5.901","5.852","Media Agents; Infrastructure; SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"le-s9-1-99","Windows File System","DefaultInstanceName","R:\007-Volume","SAO20_S9_LTR","Remote Copy","DiskLib_CVSDS-Pool01","14 day(s);1 Cycle(s)","3.417","3.389","Media Agents; Infrastructure; SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"le-s9-1-99","Windows File System","DefaultInstanceName","R:\007-Volume","SAO20_S9_LTR","SAO20-S9-Seed","SAO20-Seed","30 day(s);4 Cycle(s)","5.901","5.852","Media Agents; Infrastructure; SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"le-s9-1-99","Windows File System","DefaultInstanceName","R:\008-Volume","SAO20_S9_LTR","Primary","SAO20_1_82_LIBRARY","14 day(s);2 Cycle(s)","6.110","6.060","Media Agents; Infrastructure; SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"le-s9-1-99","Windows File System","DefaultInstanceName","R:\008-Volume","SAO20_S9_LTR","Remote Copy","DiskLib_CVSDS-Pool01","14 day(s);1 Cycle(s)","0.380","0.376","Media Agents; Infrastructure; SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"le-s9-1-99","Windows File System","DefaultInstanceName","R:\008-Volume","SAO20_S9_LTR","SAO20-S9-Seed","SAO20-Seed","30 day(s);4 Cycle(s)","2.933","2.906","Media Agents; Infrastructure; SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"le-s9-1-99","Windows File System","DefaultInstanceName","R:\009-Volume","SAO20_S9_LTR","Primary","SAO20_1_82_LIBRARY","14 day(s);2 Cycle(s)","5.951","5.893","Media Agents; Infrastructure; SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"le-s9-1-99","Windows File System","DefaultInstanceName","R:\009-Volume","SAO20_S9_LTR","Remote Copy","DiskLib_CVSDS-Pool01","14 day(s);1 Cycle(s)","5.478","5.424","Media Agents; Infrastructure; SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"le-s9-1-99","Windows File System","DefaultInstanceName","R:\009-Volume","SAO20_S9_LTR","SAO20-S9-Seed","SAO20-Seed","30 day(s);4 Cycle(s)","5.951","5.893","Media Agents; Infrastructure; SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"le-s9-1-99","Windows File System","DefaultInstanceName","R:\010-Volume","SAO20_S9_LTR","Primary","SAO20_1_82_LIBRARY","14 day(s);2 Cycle(s)","5.981","5.930","Media Agents; Infrastructure; SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"le-s9-1-99","Windows File System","DefaultInstanceName","R:\010-Volume","SAO20_S9_LTR","Remote Copy","DiskLib_CVSDS-Pool01","14 day(s);1 Cycle(s)","3.427","3.397","Media Agents; Infrastructure; SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"le-s9-1-99","Windows File System","DefaultInstanceName","R:\010-Volume","SAO20_S9_LTR","SAO20-S9-Seed","SAO20-Seed","30 day(s);4 Cycle(s)","5.981","5.930","Media Agents; Infrastructure; SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"le-s9-1-99","Windows File System","DefaultInstanceName","R:\011-Volume","SAO20_S9_LTR","Primary","SAO20_1_82_LIBRARY","14 day(s);2 Cycle(s)","5.948","5.904","Media Agents; Infrastructure; SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"le-s9-1-99","Windows File System","DefaultInstanceName","R:\011-Volume","SAO20_S9_LTR","Remote Copy","DiskLib_CVSDS-Pool01","14 day(s);1 Cycle(s)","3.438","3.412","Media Agents; Infrastructure; SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"le-s9-1-99","Windows File System","DefaultInstanceName","R:\011-Volume","SAO20_S9_LTR","SAO20-S9-Seed","SAO20-Seed","30 day(s);4 Cycle(s)","5.950","5.905","Media Agents; Infrastructure; SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"le-s9-1-99","Windows File System","DefaultInstanceName","R:\012-Volume","SAO20_S9_LTR","Primary","SAO20_1_82_LIBRARY","14 day(s);2 Cycle(s)","6.857","6.796","Media Agents; Infrastructure; SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"le-s9-1-99","Windows File System","DefaultInstanceName","R:\012-Volume","SAO20_S9_LTR","Remote Copy","DiskLib_CVSDS-Pool01","14 day(s);1 Cycle(s)","3.825","3.790","Media Agents; Infrastructure; SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"le-s9-1-99","Windows File System","DefaultInstanceName","R:\012-Volume","SAO20_S9_LTR","SAO20-S9-Seed","SAO20-Seed","30 day(s);4 Cycle(s)","6.858","6.796","Media Agents; Infrastructure; SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"le-s9-1-99","Windows File System","DefaultInstanceName","R:\013-Volume","SAO20_S9_LTR","Primary","SAO20_1_82_LIBRARY","14 day(s);2 Cycle(s)","5.979","5.907","Media Agents; Infrastructure; SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"le-s9-1-99","Windows File System","DefaultInstanceName","R:\013-Volume","SAO20_S9_LTR","Remote Copy","DiskLib_CVSDS-Pool01","14 day(s);1 Cycle(s)","3.211","3.172","Media Agents; Infrastructure; SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"le-s9-1-99","Windows File System","DefaultInstanceName","R:\013-Volume","SAO20_S9_LTR","SAO20-S9-Seed","SAO20-Seed","30 day(s);4 Cycle(s)","6.096","6.022","Media Agents; Infrastructure; SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"le-s9-1-99","Windows File System","DefaultInstanceName","R:\014-Volume","SAO20_S9_LTR","Primary","SAO20_1_82_LIBRARY","14 day(s);2 Cycle(s)","0.469","0.464","Media Agents; Infrastructure; SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"le-s9-1-99","Windows File System","DefaultInstanceName","R:\014-Volume","SAO20_S9_LTR","Remote Copy","DiskLib_CVSDS-Pool01","14 day(s);1 Cycle(s)","0.469","0.464","Media Agents; Infrastructure; SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"le-s9-1-99","Windows File System","DefaultInstanceName","R:\014-Volume","SAO20_S9_LTR","SAO20-S9-Seed","SAO20-Seed","30 day(s);4 Cycle(s)","0.469","0.464","Media Agents; Infrastructure; SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"le-s9sql-1-109","SQL Server","LE-S9SQL-1-109","default","Premium1_SAO20_STR_DPWH","Primary","SAO20_1_82_LIBRARY","14 day(s);1 Cycle(s)","0.046","0.039","Media Agents; Infrastructure; SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"le-s9sql-1-109","SQL Server","LE-S9SQL-1-109","default","Premium1_SAO20_STR_DPWH","Remote Copy_CJISNAS","DSM-WH-CJISNAS-01","14 day(s);1 Cycle(s)","0.000","0.000","Media Agents; Infrastructure; SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"le-s9sql-1-109","SQL Server","LE-S9SQL-1-109","default","Premium1_SAO20_STR_DPWH","Remote Copy_CJISNAS_SO","DiskLib_CVSDS-Pool01","14 day(s);1 Cycle(s)","0.031","0.007","Media Agents; Infrastructure; SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"le-s9sql-1-109","SQL Server","LE-S9SQL-1-109","default","Premium1_SAO20_STR_DPWH","VM Snapshots","SAO20_1_82_LIBRARY","32 day(s);1 Cycle(s)","0.061","0.000","Media Agents; Infrastructure; SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"le-s9sql-1-109","Virtual Server in le-vcenter-1-56","VMware","SQL_Servers","Premium1_SAO20_STR_DPWH","Primary","SAO20_1_82_LIBRARY","14 day(s);1 Cycle(s)","0.621","0.519","Media Agents; Infrastructure; SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"le-s9sql-1-109","Virtual Server in le-vcenter-1-56","VMware","SQL_Servers","Premium1_SAO20_STR_DPWH","Remote Copy_CJISNAS","DSM-WH-CJISNAS-01","14 day(s);1 Cycle(s)","0.188","0.101","Media Agents; Infrastructure; SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"le-s9sql-1-109","Virtual Server in le-vcenter-1-56","VMware","SQL_Servers","Premium1_SAO20_STR_DPWH","Remote Copy_CJISNAS_SO","DiskLib_CVSDS-Pool01","14 day(s);1 Cycle(s)","0.241","0.052","Media Agents; Infrastructure; SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"le-skype-1-52","Virtual Server in le-vcenter-1-56","VMware","Group1_Quieisce","Economy1_SAO20_STR_DPWH","Primary","SAO20_1_82_LIBRARY","7 day(s);1 Cycle(s)","0.219","0.183","SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"le-skype-1-52","Virtual Server in le-vcenter-1-56","VMware","Group1_Quieisce","Economy1_SAO20_STR_DPWH","Remote Copy CJIS-SO","DiskLib_CVSDS-Pool01","14 day(s);1 Cycle(s)","0.401","0.086","SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"le-sql-1-90","SQL Server","LE-SQL-1-90","default","Premium1_SAO20_STR_DPWH","VM Snapshots","SAO20_1_82_LIBRARY","32 day(s);1 Cycle(s)","0.017","0.000","Media Agents; Infrastructure; SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"le-sql-1-90","SQL Server","LE-SQL-1-90\ASUREID","default","Premium1_SAO20_STR_DPWH","Primary","SAO20_1_82_LIBRARY","14 day(s);1 Cycle(s)","0.000","0.000","Media Agents; Infrastructure; SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"le-sql-1-90","SQL Server","LE-SQL-1-90\ASUREID","default","Premium1_SAO20_STR_DPWH","VM Snapshots","SAO20_1_82_LIBRARY","32 day(s);1 Cycle(s)","0.001","0.000","Media Agents; Infrastructure; SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"le-sql-1-90","Virtual Server in le-vcenter-1-56","VMware","SQL_Servers","Premium1_SAO20_STR_DPWH","Primary","SAO20_1_82_LIBRARY","14 day(s);1 Cycle(s)","0.528","0.441","Media Agents; Infrastructure; SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"le-sql-1-94","Virtual Server in le-vcenter-1-56","VMware","SQL_Servers","Premium1_SAO20_STR_DPWH","Primary","SAO20_1_82_LIBRARY","14 day(s);1 Cycle(s)","0.371","0.310","SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"le-sql-1-94","Virtual Server in le-vcenter-1-56","VMware","SQL_Servers","Premium1_SAO20_STR_DPWH","Remote Copy_CJISNAS_SO","DiskLib_CVSDS-Pool01","14 day(s);1 Cycle(s)","0.356","0.077","SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"LE-SS-1-233","Virtual Server in le-vcenter-1-56","VMware","Group1_Quieisce","Economy1_SAO20_STR_DPWH","Primary","SAO20_1_82_LIBRARY","7 day(s);1 Cycle(s)","0.097","0.081","LE-vCENTER-1-56"
"LE-SS-1-233","Virtual Server in le-vcenter-1-56","VMware","Group1_Quieisce","Economy1_SAO20_STR_DPWH","Remote Copy CJIS-SO","DiskLib_CVSDS-Pool01","14 day(s);1 Cycle(s)","0.189","0.041","LE-vCENTER-1-56"
"le-vcenter-1-56","SQL Server","LE-VCENTER-1-56","default","Economy1_SAO20_STR_DPWH","Primary","SAO20_1_82_LIBRARY","7 day(s);1 Cycle(s)","0.025","0.021","Media Agents; Infrastructure; SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"le-vcenter-1-56","SQL Server","LE-VCENTER-1-56","default","Economy1_SAO20_STR_DPWH","Remote Copy CJIS-SO","DiskLib_CVSDS-Pool01","14 day(s);1 Cycle(s)","0.026","0.006","Media Agents; Infrastructure; SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"le-vcenter-1-56","SQL Server","LE-VCENTER-1-56","default","Economy1_SAO20_STR_DPWH","VMware Snapshot","SAO20_1_82_LIBRARY","5 day(s);1 Cycle(s)","0.000","0.000","Media Agents; Infrastructure; SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"le-vcenter-1-56","Virtual Server in le-vcenter-1-56","VMware","SQL_Servers_7Day","Economy1_SAO20_STR_DPWH","Primary","SAO20_1_82_LIBRARY","7 day(s);1 Cycle(s)","0.637","0.533","Media Agents; Infrastructure; SAO - 20th Judicial Circuit; SAO - 20th Judicial Circuit Servers; LE-vCENTER-1-56"
"LE-WEB-1-93","Virtual Server in le-vcenter-1-56","VMware","Group2_Quiesce","Premium1_SAO20_STR_DPWH","Primary","SAO20_1_82_LIBRARY","14 day(s);1 Cycle(s)","0.353","0.295","LE-vCENTER-1-56"
"LE-WEB-1-93","Virtual Server in le-vcenter-1-56","VMware","Group2_Quiesce","Premium1_SAO20_STR_DPWH","Remote Copy_CJISNAS","DSM-WH-CJISNAS-01","14 day(s);1 Cycle(s)","0.096","0.052","LE-vCENTER-1-56"
"LE-WEB-1-93","Virtual Server in le-vcenter-1-56","VMware","Group2_Quiesce","Premium1_SAO20_STR_DPWH","Remote Copy_CJISNAS_SO","DiskLib_CVSDS-Pool01","14 day(s);1 Cycle(s)","0.132","0.029","LE-vCENTER-1-56"
"LE-WEB-61-2__Internet__2f_SFTP_","Virtual Server in le-vcenter-1-56","VMware","Group2_Quiesce","Premium1_SAO20_STR_DPWH","Primary","SAO20_1_82_LIBRARY","14 day(s);1 Cycle(s)","0.327","0.274","LE-vCENTER-1-56"
"LE-WEB-61-2__Internet__2f_SFTP_","Virtual Server in le-vcenter-1-56","VMware","Group2_Quiesce","Premium1_SAO20_STR_DPWH","Remote Copy_CJISNAS","DSM-WH-CJISNAS-01","14 day(s);1 Cycle(s)","0.101","0.054","LE-vCENTER-1-56"
"LE-WEB-61-2__Internet__2f_SFTP_","Virtual Server in le-vcenter-1-56","VMware","Group2_Quiesce","Premium1_SAO20_STR_DPWH","Remote Copy_CJISNAS_SO","DiskLib_CVSDS-Pool01","14 day(s);1 Cycle(s)","0.120","0.026","LE-vCENTER-1-56"
"Mailsrv01.penflorida.org_1_","Virtual Server in dsm-wh-vca01","VMware","default","PenFL_Premium","Primary-SO","DiskLib_CVSDS-Pool01","18 day(s);2 Cycle(s)","0.877","0.189","dsm-wh-vca01; Pen Florida"
"MIKER-LT","Windows File System","DefaultInstanceName","default","Standard2_WH","Primary","DSM_WH_DiskLibrary","14 day(s);1 Cycle(s)","0.138","0.011","DSM"
"MIKER-LT","Windows File System","DefaultInstanceName","default","Standard2_WH","Primary-SO","DiskLib_CVSDS-Pool01","14 day(s);1 Cycle(s)","0.095","0.020","DSM"
"oaisys-recorder","Windows File System","DefaultInstanceName","default","Premium1_WH","Premium1_S3_hwi-dpaas","hwi-dpaas","35 day(s);1 Cycle(s)","0.355","0.229","Hunter Warfield"
"oaisys-recorder","Windows File System","DefaultInstanceName","default","Premium1_WH","Primary","DSM_WH_DiskLibrary","35 day(s);1 Cycle(s)","0.304","0.097","Hunter Warfield"
"oaisys-recorder","Windows File System","DefaultInstanceName","default","Premium1_WH","Primary-SO","DiskLib_CVSDS-Pool01","35 day(s);1 Cycle(s)","0.051","0.011","Hunter Warfield"
"oaisys-sql","SQL Server","OAISYS-SQL","default","Economy2_WH","Primary-SO","DiskLib_CVSDS-Pool01","7 day(s);1 Cycle(s)","4.200","0.905","Hunter Warfield; Hunter_VM_Backups"
"oaisys-sql","SQL Server","OAISYS-SQL","default","Economy2_WH_TLOGS","Primary","DSM_WH_DiskLibrary","2 day(s);1 Cycle(s)","0.000","0.000","Hunter Warfield; Hunter_VM_Backups"
"oaisys-sql","SQL Server","OAISYS-SQL","default","Economy2_WH_TLOGS","Primary-SO","DiskLib_CVSDS-Pool01","2 day(s);1 Cycle(s)","0.000","0.000","Hunter Warfield; Hunter_VM_Backups"
"Oaisys-SQL_1","Virtual Server in hw-vcenter","VMware","DEVTEST_2AM_SUNsynthFULL","Economy2_WH","Primary-SO","DiskLib_CVSDS-Pool01","7 day(s);1 Cycle(s)","2.029","0.437","HW-Vcenter"
"OSSEC-V01","Virtual Server in hw-vcenter","VMware","PROD_11PM_SUNsynthFULL","HW_WH_8Day","Primary-SO","DiskLib_CVSDS-Pool01","8 day(s);3 Cycle(s)","0.397","0.086","HW-Vcenter"
"PF-DC01","Virtual Server in dsm-wh-vca01","VMware","default","PenFL_Premium","Primary-SO","DiskLib_CVSDS-Pool01","18 day(s);2 Cycle(s)","0.734","0.158","dsm-wh-vca01; Pen Florida"
"PF-MGMT01","Virtual Server in dsm-wh-vca01","VMware","default","PenFL_Premium","Primary-SO","DiskLib_CVSDS-Pool01","18 day(s);2 Cycle(s)","0.738","0.159","dsm-wh-vca01; Pen Florida"
"POWERVAULT2","Virtual Server in hw-vcenter","VMware","PROD_9PM_SATsynthFULL","Standard1_WH","Primary","DSM_WH_DiskLibrary","14 day(s);1 Cycle(s)","8.341","2.652","HW-Vcenter"
"POWERVAULT2","Virtual Server in hw-vcenter","VMware","PROD_9PM_SATsynthFULL","Standard1_WH","Primary-SO","DiskLib_CVSDS-Pool01","14 day(s);1 Cycle(s)","24.449","5.268","HW-Vcenter"
"Premium1_CCM_LTR_DPWH_IndexServer","Big Data Apps","defaultInstance","default","Premium1_CCM_LTR_DPWH","Primary","CCM_LKL_BACKUPS","35 day(s);2 Cycle(s)","0.002","0.000","Index Servers"
"Premium1_CCM_STR_DPWH_IndexServer","Big Data Apps","defaultInstance","default","Premium1_CCM_STR_DPWH","Primary","CCM_LKL_BACKUPS","35 day(s);2 Cycle(s)","0.005","0.001","Index Servers"
"Premium1_CCM_STR_DPWH_IndexServer","Big Data Apps","defaultInstance","default","Premium1_CCM_STR_DPWH","Standard1_CCM_Cloud","DSM_WH_DiskLibrary","14 day(s);1 Cycle(s)","0.005","0.000","Index Servers"
"Premium1_CCM_STR_DPWH_IndexServer","Big Data Apps","defaultInstance","default","Premium1_CCM_STR_DPWH","Standard1_CCM_Cloud-SO","DiskLib_CVSDS-Pool01","14 day(s);1 Cycle(s)","0.005","0.001","Index Servers"
"Premium1_SAO20_STR_DPWH_IndexServer","Big Data Apps","defaultInstance","default","Premium1_SAO20_STR_DPWH","Primary","SAO20_1_82_LIBRARY","14 day(s);1 Cycle(s)","0.064","0.053","Index Servers"
"Premium1_WH_IndexServer","Big Data Apps","defaultInstance","default","Premium1_WH","Primary","DSM_WH_DiskLibrary","35 day(s);1 Cycle(s)","0.003","0.001","Index Servers"
"Premium1_WH_IndexServer","Big Data Apps","defaultInstance","default","Premium1_WH","Primary-SO","DiskLib_CVSDS-Pool01","35 day(s);1 Cycle(s)","0.001","0.000","Index Servers"
"Premium2_SAO20_STR_DPWH_IndexServer","Big Data Apps","defaultInstance","default","Premium2_SAO20_STR_DPWH","Primary","SAO20_1_82_LIBRARY","14 day(s);1 Cycle(s)","0.022","0.019","Index Servers"
"Premium2_WH_IndexServer","Big Data Apps","defaultInstance","default","Premium2_WH","Primary","DSM_WH_DiskLibrary","35 day(s);1 Cycle(s)","0.035","0.003","Index Servers"
"Premium2_WH_IndexServer","Big Data Apps","defaultInstance","default","Premium2_WH","Primary-SO","DiskLib_CVSDS-Pool01","35 day(s);1 Cycle(s)","0.059","0.013","Index Servers"
"prodoc","Windows File System","DefaultInstanceName","default","Premium1_CCM_STR_DPWH","Primary","CCM_LKL_BACKUPS","35 day(s);2 Cycle(s)","0.393","0.047","Clark Campbell Servers; Clark Campbell"
